,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
aletsch-arena-riederalpbettmeralpfiesch-eggishorn,aletsch-arena-riederalpbettmeralpfiesch-eggishorn,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/aletsch-arena-riederalpbettmeralpfiesch-eggishorn/,2869.0,42.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,,66,0,0,Swiss Franc,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,0.0,0.0,,0.0,,,,
carezza-ski,carezza-ski,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/carezza-ski/,2337.0,19.0,16.2,4.8,0.0,0.0,0.0,0.0,0.0,,52,38,22,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,0.0,,0.0,,,,,
kitzski-kitzbuehelkirchberg,kitzski-kitzbuehelkirchberg,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/,2000.0,102.0,66.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,59.50,44,29.50,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0.0,,,
val-gardena-groeden,val-gardena-groeden,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/val-gardena-groeden/,2518.0,52.0,105.0,21.0,0.0,0.0,0.0,0.0,0.0,,62,43,43,European Euro,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,,0.0,,,,
grossglockner-resort-kals-matrei,grossglockner-resort-kals-matrei,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,2422.0,9.5,24.5,10.6,,0.0,0.0,0.0,,,52,0,26,European Euro,3.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,1.0,4.0,0.0,,,,,,,
gitschberg-jochtal,gitschberg-jochtal,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/gitschberg-jochtal/,2510.0,18.5,27.2,9.3,0.0,0.0,0.0,0.0,0.0,,54,38,0,European Euro,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,,,0.0,,,,,
sillian-thurntaler-hochpustertal,sillian-thurntaler-hochpustertal,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,2407.0,5.6,15.0,1.1,,0.0,0.0,0.0,0.0,,52,26,26,European Euro,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,0.0,,,,,,,
saalbach-hinterglemm-leogang-fieberbrunn-skicircus,saalbach-hinterglemm-leogang-fieberbrunn-skicircus,Europe,Austria,Salzburg (Salzburger Land),https://www.skiresort.info/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,2096.0,140.0,112.0,18.0,,0.0,0.0,0.0,0.0,0.0,60.50,45,30,European Euro,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,,,,,,
belpiano-schoenebenmalga-san-valentino-haideralm,belpiano-schoenebenmalga-san-valentino-haideralm,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/belpiano-schoenebenmalga-san-valentino-haideralm/,2390.0,29.0,30.0,6.0,,0.0,0.0,0.0,,,49,37,29.50,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,0.0,,,,,,,
damuels-mellau,damuels-mellau,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/damuels-mellau/,2050.0,29.9,48.8,1.9,,0.0,0.0,0.0,0.0,0.0,55.50,52,32,European Euro,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,,,,,,,,
hochoetz-oetz,hochoetz-oetz,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/hochoetz-oetz/,2272.0,12.0,21.5,4.0,,0.0,0.0,0.0,0.0,,44,35.20,24.20,European Euro,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,0.0,,,,,,,
steinplattewinklmoosalm-waidringreit-im-winkl,steinplattewinklmoosalm-waidringreit-im-winkl,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,1860.0,18.0,22.0,2.0,,0.0,0.0,0.0,0.0,,50,38,26,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,0.0,,,,,,,
st-jakob-im-defereggental-brunnalm,st-jakob-im-defereggental-brunnalm,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/st-jakob-im-defereggental-brunnalm/,2525.0,4.7,11.1,1.2,,0.0,0.0,0.0,0.0,,52,0,26,European Euro,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,0.0,,,,,,,
kleine-scheideggmaennlichen-grindelwaldwengen,kleine-scheideggmaennlichen-grindelwaldwengen,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/kleine-scheideggmaennlichen-grindelwaldwengen/,2400.0,33.0,56.0,13.0,0.0,0.0,0.0,0.0,0.0,,69,0,33,Swiss Franc,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,0.0,,0.0,,,0.0,,
wildkogel-neukirchenbramberg,wildkogel-neukirchenbramberg,Europe,Austria,Salzburg (Salzburger Land),https://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/,2150.0,35.0,30.0,10.0,,0.0,0.0,0.0,0.0,,52.50,42,25.50,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,0.0,,,,,,,
nauders-am-reschenpass-bergkastel,nauders-am-reschenpass-bergkastel,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/nauders-am-reschenpass-bergkastel/,2750.0,25.0,36.0,14.0,,0.0,0.0,0.0,,,49,37,29.50,European Euro,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,0.0,,0.0,,,,,
lermoos-grubigstein,lermoos-grubigstein,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/lermoos-grubigstein/,2100.0,14.4,10.2,1.9,,0.0,0.0,0.0,,,52,41.50,26,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,,,,,,,
arber,arber,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/arber/,1456.0,4.5,4.0,3.0,,0.0,0.0,0.0,,,36,34,26,European Euro,2.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,4.0,0.0,,,,,,,
kristberg-silbertal,kristberg-silbertal,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/kristberg-silbertal/,1589.0,1.8,1.2,4.1,0.0,,,0.0,,0.0,40.50,23.30,23.30,European Euro,2.0,2.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,,,,,,,,
fichtelberg-oberwiesenthal,fichtelberg-oberwiesenthal,Europe,Germany,Saxony (Sachsen),https://www.skiresort.info/ski-resort/fichtelberg-oberwiesenthal/,1215.0,6.8,6.1,2.6,0.0,,0.0,0.0,,,35,0,25,European Euro,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,0.0,,,,,,,
elm-im-sernftal,elm-im-sernftal,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/elm-im-sernftal/,2105.0,15.0,20.0,5.0,,0.0,0.0,0.0,,,51,38,26,Swiss Franc,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,0.0,,,,,,,
ehrwalder-wettersteinbahnen-ehrwald,ehrwalder-wettersteinbahnen-ehrwald,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/ehrwalder-wettersteinbahnen-ehrwald/,1530.0,15.0,5.0,3.0,,,0.0,0.0,,0.0,52,41.50,26,European Euro,2.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,3.0,4.0,,,,,,,,
ponte-di-legnotonalepresena-glaciertemu-pontedilegno-tonale,ponte-di-legnotonalepresena-glaciertemu-pontedilegno-tonale,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/ponte-di-legnotonalepresena-glaciertemu-pontedilegno-tonale/,3000.0,24.0,61.0,15.0,,0.0,0.0,0.0,0.0,,49,38,26,European Euro,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,0.0,,0.0,,,,,
axamer-lizum,axamer-lizum,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/axamer-lizum/,2340.0,7.0,22.0,3.0,,,0.0,0.0,,,44.50,35.50,26.50,European Euro,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,,,,0.0,,,,
sonnenkopf-kloesterle,sonnenkopf-kloesterle,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/sonnenkopf-kloesterle/,2300.0,12.8,15.9,0.8,,0.0,0.0,0.0,0.0,,46,38,26.50,European Euro,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,4.0,2.0,3.0,,,0.0,,,,,
ofterschwanggunzesried-ofterschwanger-horn,ofterschwanggunzesried-ofterschwanger-horn,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/ofterschwanggunzesried-ofterschwanger-horn/,1405.0,4.6,9.2,2.7,,0.0,0.0,0.0,0.0,,45,35,21,European Euro,2.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0,,,,,,,
