,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
pine-knob,pine-knob,North America,USA,Michigan,https://www.skiresort.info/ski-resort/pine-knob/,392.0,1.0,2.5,1.5,,,0.0,,0.0,,60,0,0,US Dollar,1.7,2.0,2.9,,,,,,,,,,,,,,,,,,0.0,,,,,
hohenbogen-neukirchen-bei-hl-blut,hohenbogen-neukirchen-bei-hl-blut,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/hohenbogen-neukirchen-bei-hl-blut/,1050.0,2.0,3.0,1.0,,,0.0,0.0,0.0,,25,0,18.50,European Euro,1.7,2.0,2.8,,,,,,,,,,,,,,,,0.0,,,,,,,
schauinsland-hofsgrund,schauinsland-hofsgrund,Europe,Germany,Baden-Württemberg,https://www.skiresort.info/ski-resort/schauinsland-hofsgrund/,1200.0,1.0,1.0,0.5,,0.0,,0.0,0.0,,29,0,19,European Euro,1.3,1.6,3.7,,,,,,,,,,,,,,,,,,,,,,,
fort-wainwrightbirch-hill-fairbanks,fort-wainwrightbirch-hill-fairbanks,North America,USA,Alaska,https://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,300.0,1.1,2.5,1.5,,,0.0,,,,30,19,0,US Dollar,1.7,2.0,2.9,,,,,,,,,,,,,,,,,,0.0,,,,,
mount-pleasant,mount-pleasant,North America,USA,Pennsylvania,https://www.skiresort.info/ski-resort/mount-pleasant/,450.0,2.0,2.0,1.0,,,0.0,0.0,,,35,0,0,US Dollar,1.7,2.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
entracque,entracque,Europe,Italy,Piedmont (Piemonte),https://www.skiresort.info/ski-resort/entracque/,1109.0,3.0,1.0,1.0,,,0.0,0.0,,,23,0,13,European Euro,1.7,2.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
sonntag-stein,sonntag-stein,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/sonntag-stein/,1750.0,4.0,3.0,0.0,0.0,,0.0,,,,9,33,24,European Euro,1.9,1.9,2.7,,,,,,,,,,,,,,,,0.0,,,,,,,
quechee-lakes-ski-area,quechee-lakes-ski-area,North America,USA,Vermont,https://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,380.0,2.0,2.5,0.5,,,0.0,0.0,0.0,,52,0,40,US Dollar,1.7,2.0,2.8,,,,,,,,,,,,,,,,,,,,,,,
wendelstein-brannenburgosterhofen,wendelstein-brannenburgosterhofen,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/wendelstein-brannenburgosterhofen/,1723.0,0.0,7.0,4.2,0.0,,,0.0,,,40,0,24,European Euro,2.2,2.2,2.1,,,,,,,,,,,,,,,,,,,,,0.0,,
suusamir-too-ashu-pass,suusamir-too-ashu-pass,Asia,Kyrgyzstan,Chuy,https://www.skiresort.info/ski-resort/suusamir-too-ashu-pass/,2930.0,2.0,5.0,0.0,,,0.0,0.0,,,0,0,0,-,1.9,1.9,2.7,,,,,,,,,,,,,,,,,,,,,,,
vallecitos,vallecitos,South America,Argentina,Mendoza,https://www.skiresort.info/ski-resort/vallecitos/,3650.0,1.0,2.0,1.0,,,0.0,0.0,,,0,0,0,-,1.6,2.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
malga-san-giorgio,malga-san-giorgio,Europe,Italy,Venetia (Veneto),https://www.skiresort.info/ski-resort/malga-san-giorgio/,1810.0,0.6,3.8,0.6,,,0.0,0.0,,,23,0,0,European Euro,1.7,2.0,2.8,,,,,,,,,,,,,,,,,,0.0,,,,,
rieseralm-obdach,rieseralm-obdach,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/rieseralm-obdach/,1520.0,4.0,6.0,2.0,,,,0.0,,,30,29,19,European Euro,2.1,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,
appalachian-ski-mountain,appalachian-ski-mountain,North America,USA,North Carolina,https://www.skiresort.info/ski-resort/appalachian-ski-mountain/,1219.0,2.0,2.5,0.5,,,0.0,,0.0,0.0,69,0,49,US Dollar,1.7,2.0,2.8,,,,,,,,,,,,,,,,,,,,,,,
les-paccotschatel-st-denis-corbetta,les-paccotschatel-st-denis-corbetta,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/les-paccotschatel-st-denis-corbetta/,1593.0,5.0,2.0,2.0,,,,0.0,0.0,,39,0,27,Swiss Franc,2.1,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,
iso-syoete-pudasjaervi,iso-syoete-pudasjaervi,Europe,Finland,Northern Finland,https://www.skiresort.info/ski-resort/iso-syoete-pudasjaervi/,425.0,4.0,5.2,2.5,,,,0.0,0.0,,39,37,27,European Euro,2.1,2.4,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,
saariselkae,saariselkae,Europe,Finland,Northern Finland,https://www.skiresort.info/ski-resort/saariselkae/,437.0,4.5,2.0,0.5,,,0.0,0.0,,,43,0,28,European Euro,1.9,2.1,2.5,,,,,,,,,,,,,,,,,,,,,,,
paljakka,paljakka,Europe,Finland,East Finland (Pohjois- ja Itä-Suomi),https://www.skiresort.info/ski-resort/paljakka/,340.0,3.0,6.0,2.5,,,,0.0,,,35,0,28,European Euro,2.1,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,
elfer-neustift,elfer-neustift,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/elfer-neustift/,2080.0,0.0,2.5,0.0,,0.0,,0.0,,,34.50,26,18,European Euro,1.5,1.0,4.0,,,,,,,,,,,,,,,,0.0,,,,,,,
mont-sereinmont-ventoux-nord,mont-sereinmont-ventoux-nord,Europe,France,Provence-Alpes-Côte d’Azur,https://www.skiresort.info/ski-resort/mont-sereinmont-ventoux-nord/,1800.0,4.5,6.0,1.5,,,,0.0,,,17.30,0,12,European Euro,2.1,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,
piazzatorre,piazzatorre,Europe,Italy,Lombardy,https://www.skiresort.info/ski-resort/piazzatorre/,1780.0,1.5,2.0,0.7,,,0.0,,,,24,22,12,European Euro,1.6,1.9,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,
sogn-skisenter,sogn-skisenter,Europe,Norway,Western Norway (Vestlandet),https://www.skiresort.info/ski-resort/sogn-skisenter/,875.0,7.0,1.0,2.0,,,,0.0,,,390,290,0,Norwegian krone,2.1,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,
perfect-north-slopes,perfect-north-slopes,North America,USA,Indiana,https://www.skiresort.info/ski-resort/perfect-north-slopes/,244.0,2.0,2.0,1.0,,,0.0,,0.0,,65,0,55,US Dollar,1.7,2.0,2.8,,,,,,,,,,,,,,,,,,0.0,,,,,
donezan-mijanes,donezan-mijanes,Europe,France,Occitania,https://www.skiresort.info/ski-resort/donezan-mijanes/,2013.0,6.0,3.0,2.0,,,,0.0,,,21,18,16.50,European Euro,2.1,2.4,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,
presolana,presolana,Europe,Italy,Lombardy,https://www.skiresort.info/ski-resort/presolana/,1630.0,2.4,2.4,0.2,,,0.0,0.0,,,36,27,18,European Euro,1.7,1.9,2.9,,,,,,,,,,,,,,,,,,0.0,,,,,
skalafell,skalafell,Europe,Iceland,Greater Reykjavik,https://www.skiresort.info/ski-resort/skalafell/,700.0,3.0,4.0,0.0,,,0.0,0.0,,,4050,1540,1010,Icelandic krona,1.9,1.9,2.7,,,,,,,,,,,,,,,,,,,,,,,
passolanciano,passolanciano,Europe,Italy,Abruzzo,https://www.skiresort.info/ski-resort/passolanciano/,1650.0,2.7,2.0,0.8,,,0.0,0.0,,,24,0,17,European Euro,1.7,2.0,2.8,,,,,,,,,,,,,,,,,,0.0,,,,,
serra-da-estrela,serra-da-estrela,Europe,Portugal,,https://www.skiresort.info/ski-resort/serra-da-estrela/,1997.0,2.4,2.5,1.0,,,0.0,0.0,,,25,0,15,European Euro,1.7,2.0,2.8,,,,,,,,,,,,,,,,0.0,,,,,,,
blagodat-belokuricha,blagodat-belokuricha,Russia,Siberia,,https://www.skiresort.info/ski-resort/blagodat-belokuricha/,801.0,2.3,3.2,0.6,,,0.0,0.0,,,1200,0,0,Russian ruble,1.8,2.1,2.6,,,,,,,,,,,,,,,,,,,,,,,
laye,laye,Europe,France,Provence-Alpes-Côte d’Azur,https://www.skiresort.info/ski-resort/laye/,1850.0,4.0,5.0,1.0,,,,0.0,,,22.10,0,18.50,European Euro,2.1,2.4,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,
powder-king,powder-king,North America,Canada,British Columbia,https://www.skiresort.info/ski-resort/powder-king/,1520.0,12.0,7.0,6.0,,,,,,,89,66,37,Canadian Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,
espace-super-saint-bernard-bourg-st-pierre,espace-super-saint-bernard-bourg-st-pierre,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/espace-super-saint-bernard-bourg-st-pierre/,2800.0,3.0,10.0,12.0,,,,,,,38,32,27,Swiss Franc,,,,,,,,,,,,,,,,,,,,,,,,,,
jeizinen-feselalp-gampelsteg,jeizinen-feselalp-gampelsteg,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/jeizinen-feselalp-gampelsteg/,2221.0,6.0,2.0,0.0,0.0,,0.0,0.0,0.0,,46,37,30,Swiss Franc,2.0,2.0,2.5,,,,,,,,,,,,,,,,,,,,,,,
krasnoe-ozero,krasnoe-ozero,Russia,Northwest Russia,,https://www.skiresort.info/ski-resort/krasnoe-ozero/,135.0,4.0,3.6,0.9,,,0.0,0.0,0.0,,0,0,0,-,1.9,2.2,2.4,,,,,,,,,,,,,,,,,,,,,,,
selwyn-snowfields,selwyn-snowfields,Australia and Oceania,Australia,New South Wales,https://www.skiresort.info/ski-resort/selwyn-snowfields/,1614.0,9.0,0.0,1.0,,,0.0,0.0,,,0,0,0,-,2.0,2.0,2.5,,,,,,,,,,,,,,,,,,0.0,,,,,
vulcan,vulcan,Europe,Romania,,https://www.skiresort.info/ski-resort/vulcan/,1620.0,,,,,0.0,,0.0,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
dohuk,dohuk,Asia,Iraq,,https://www.skiresort.info/ski-resort/dohuk/,0.0,,,,,0.0,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
whispering-pines-worsley,whispering-pines-worsley,North America,Canada,Alberta,https://www.skiresort.info/ski-resort/whispering-pines-worsley/,1110.0,1.8,1.3,3.2,,,0.0,0.0,0.0,,30,20,12,Canadian Dollar,1.7,2.0,2.7,,,,,,,,,,,,,,,,,,,,,,,
sonnberglifts-wald-am-schoberpass,sonnberglifts-wald-am-schoberpass,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/sonnberglifts-wald-am-schoberpass/,1200.0,4.0,5.0,3.0,,,,0.0,0.0,,27,0,19,European Euro,2.1,2.5,1.9,,,,,,,,,,,,,,,,,,,,,,,
faschina-fontanella,faschina-fontanella,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/faschina-fontanella/,1980.0,5.5,1.3,0.0,,,0.0,0.0,,0.0,42.50,38,26.50,European Euro,1.8,1.8,2.9,,,,,,,,,,,,,,,,,,,,,,,
grapa-litwinka-czarna-gora,grapa-litwinka-czarna-gora,Europe,Poland,Lesser Poland (Województwo małopolskie),https://www.skiresort.info/ski-resort/grapa-litwinka-czarna-gora/,891.0,1.5,0.4,0.0,,,0.0,0.0,0.0,,99,90,85,Polish zloty,1.3,1.3,3.8,,,,,,,,,,,,,,,,,,0.0,,,,,
sun-valley-resort,sun-valley-resort,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/sun-valley-resort/,1564.0,0.4,0.8,0.6,,,0.0,,,,6000,5100,3000,Japanese Yen,1.3,1.6,3.6,,,,,,,,,,,,,,,,,,,,,,,
pont-despagne-cauterets,pont-despagne-cauterets,Europe,France,Occitania,https://www.skiresort.info/ski-resort/pont-despagne-cauterets/,1756.0,3.0,1.0,0.0,,0.0,0.0,0.0,,,15.50,13,0,European Euro,1.5,1.5,3.4,,,,,,,,,,,,,,,,,,,,,,,
destne,destne,Europe,Czech Republic,Hradec Králové Region (Královéhradecký kraj),https://www.skiresort.info/ski-resort/destne/,850.0,2.2,0.9,1.4,,,0.0,0.0,0.0,,590,545,430,Czech koruna,1.5,1.8,3.2,,,,,,,,,,,,,,,,0.0,,,,,,,
salzstiegl-hirschegg,salzstiegl-hirschegg,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/salzstiegl-hirschegg/,1710.0,6.0,4.0,2.0,,,,0.0,0.0,,37,33.30,22.20,European Euro,2.1,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,
mt-brighton,mt-brighton,North America,USA,Michigan,https://www.skiresort.info/ski-resort/mt-brighton/,340.0,1.0,3.5,1.7,,,0.0,,0.0,,74,0,69,US Dollar,1.7,2.0,2.7,,,,,,,,,,,,,,,,0.0,,,,,,,
ak-tash-oruu-sai,ak-tash-oruu-sai,Asia,Kyrgyzstan,Chuy,https://www.skiresort.info/ski-resort/ak-tash-oruu-sai/,2500.0,2.0,2.0,1.0,,,0.0,0.0,,,0,0,0,-,1.7,2.0,2.8,,,,,,,,,,,,,,,,,,,,,,,
safed-dara,safed-dara,Asia,Tajikistan,,https://www.skiresort.info/ski-resort/safed-dara/,2600.0,1.2,1.1,0.0,,0.0,,0.0,,,0,0,0,-,1.3,1.3,3.9,,,,,,,,,,,,,,,,,,,,,,,
pylypets,pylypets,Europe,Ukraine,Zakarpattia,https://www.skiresort.info/ski-resort/pylypets/,1200.0,2.0,5.0,0.0,,,0.0,0.0,,,0,0,0,-,1.9,1.9,2.7,,,,,,,,,,,,,,,,,,,,0.0,,,
roata-cavnic,roata-cavnic,Europe,Romania,Maramureș,https://www.skiresort.info/ski-resort/roata-cavnic/,1156.0,2.3,2.1,1.9,,,0.0,0.0,,,120,0,100,Romanian leu,1.7,2.1,2.6,,,,,,,,,,,,,,,,0.0,,,,,,,
biel-kinzig-buerglen,biel-kinzig-buerglen,Europe,Switzerland,Central Switzerland,https://www.skiresort.info/ski-resort/biel-kinzig-buerglen/,1930.0,2.5,4.5,0.0,0.0,,0.0,0.0,0.0,,38,0,25,Swiss Franc,1.9,1.9,2.6,,,,,,,,,,,,,,,,,,,,,,,
eikedalen,eikedalen,Europe,Norway,Western Norway (Vestlandet),https://www.skiresort.info/ski-resort/eikedalen/,918.0,10.0,5.0,0.0,,,,0.0,,,410,350,0,Norwegian krone,2.2,2.2,2.0,,,,,,,,,,,,,,,,,,,,,,,
yuzawa-park,yuzawa-park,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/yuzawa-park/,626.0,3.5,2.2,0.0,,,0.0,,,,4500,0,2500,Japanese Yen,1.7,1.7,3.0,,,,,,,,,,,,,,,,,,,,,,,
hohentauern,hohentauern,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/hohentauern/,1700.0,3.0,7.0,1.0,,,,0.0,,,39,35.50,23.80,European Euro,2.1,2.3,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,
col-de-larzelier,col-de-larzelier,Europe,France,Auvergne-Rhône-Alpes,https://www.skiresort.info/ski-resort/col-de-larzelier/,1300.0,3.0,2.0,1.0,,,0.0,0.0,,,15,0,13.20,European Euro,1.7,2.0,2.7,,,,,,,,,,,,,,,,,,,,,,,
la-forclaz,la-forclaz,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/la-forclaz/,2200.0,8.0,7.0,0.0,,,,0.0,,,44,35,29,Swiss Franc,2.2,2.2,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,
les-plans-dhotonnes,les-plans-dhotonnes,Europe,France,Auvergne-Rhône-Alpes,https://www.skiresort.info/ski-resort/les-plans-dhotonnes/,1350.0,13.7,1.3,0.0,,,,0.0,0.0,,19,16,14.50,European Euro,2.2,2.2,2.0,,,,,,,,,,,,,,,,,,,,,,,
spanov-vrh,spanov-vrh,Europe,Slovenia,Gorenjska (Upper Carniola),https://www.skiresort.info/ski-resort/spanov-vrh/,1361.0,3.0,2.0,0.0,,,0.0,,,,18,0,12,European Euro,1.7,1.7,3.0,,,,,,,,,,,,,,,,,,,,,,,
chestnut-mountain,chestnut-mountain,North America,USA,Illinois,https://www.skiresort.info/ski-resort/chestnut-mountain/,335.0,2.0,3.0,1.0,,,0.0,,0.0,,65,0,0,US Dollar,1.7,2.0,2.7,,,,,,,,,,,,,,,,,,0.0,,,,,
mountain-high-north,mountain-high-north,North America,USA,California,https://www.skiresort.info/ski-resort/mountain-high-north/,2287.0,2.0,3.0,0.0,,,0.0,,,,119,0,0,US Dollar,1.7,1.7,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,
le-noirmont-jura-sur-leman,le-noirmont-jura-sur-leman,Europe,France,Bourgogne-Franche-Comté,https://www.skiresort.info/ski-resort/le-noirmont-jura-sur-leman/,1567.0,4.0,2.4,1.3,,,0.0,0.0,,,28.70,0,21.60,European Euro,1.9,2.2,2.3,,,,,,,,,,,,,,,,,,,,,,,
asahi-shizen,asahi-shizen,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/asahi-shizen/,760.0,1.5,1.0,1.0,,,0.0,,,,3300,2600,1000,Japanese Yen,1.5,1.9,3.0,,,,,,,,,,,,,,,,,,,,,,,
hanawa-kazuno,hanawa-kazuno,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/hanawa-kazuno/,727.0,1.2,0.9,0.9,,,0.0,,,,3000,0,2400,Japanese Yen,1.5,1.9,3.0,,,,,,,,,,,,,,,,,,,,,,,
pallas,pallas,Europe,Finland,Northern Finland,https://www.skiresort.info/ski-resort/pallas/,780.0,8.0,3.0,1.0,,,,0.0,,,39.50,0,29.50,European Euro,2.1,2.3,2.0,,,,,,,,,,,,,,,,,,,,,,,
glen-eden,glen-eden,North America,Canada,Ontario,https://www.skiresort.info/ski-resort/glen-eden/,320.0,3.0,2.0,0.0,,,0.0,,,,42,0,38,Canadian Dollar,1.7,1.7,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,
koetschach-mauthen-vorhegg,koetschach-mauthen-vorhegg,Europe,Austria,Carinthia (Kärnten),https://www.skiresort.info/ski-resort/koetschach-mauthen-vorhegg/,1300.0,4.0,2.0,0.0,,,0.0,0.0,0.0,,33,25,16.50,European Euro,1.8,1.8,2.8,,,,,,,,,,,,,,,,,,,,,,,
radusa,radusa,Europe,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,https://www.skiresort.info/ski-resort/radusa/,1757.0,1.0,5.0,0.6,,,0.0,0.0,,,25,0,20,Bosnia convertible mark,1.7,1.9,2.8,,,,,,,,,,,,,,,,,,,,,,,
nordic-mountain,nordic-mountain,North America,USA,Wisconsin,https://www.skiresort.info/ski-resort/nordic-mountain/,346.0,2.0,3.0,1.5,,,0.0,,0.0,,70,0,60,US Dollar,1.7,2.0,2.7,,,,,,,,,,,,,,,,,,,,,,,
mineyama-kogen,mineyama-kogen,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/mineyama-kogen/,1049.0,1.0,1.2,0.9,,,0.0,,,,4500,0,3000,Japanese Yen,1.5,1.9,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,
atzmaennig-goldingen,atzmaennig-goldingen,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/atzmaennig-goldingen/,1200.0,3.0,5.0,0.0,,,0.0,0.0,,,35,29,25,Swiss Franc,1.9,1.9,2.6,,,,,,,,,,,,,,,,,,,,,,,
aeschiried,aeschiried,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/aeschiried/,1400.0,10.0,2.0,0.0,,,,0.0,,,33,0,23,Swiss Franc,2.2,2.2,2.0,,,,,,,,,,,,,,,,,,,,,,,
cordon,cordon,Europe,France,Auvergne-Rhône-Alpes,https://www.skiresort.info/ski-resort/cordon/,1600.0,4.0,7.0,0.0,,,,0.0,0.0,,20.50,0,16,European Euro,2.2,2.2,2.0,,,,,,,,,,,,,,,,,,,,,,,
hodlekve-sogndal,hodlekve-sogndal,Europe,Norway,Western Norway (Vestlandet),https://www.skiresort.info/ski-resort/hodlekve-sogndal/,950.0,8.0,3.0,1.0,,,,0.0,,,455,350,0,Norwegian krone,2.1,2.3,2.0,,,,,,,,,,,,,,,,,,,,,,,
kumanoyu-resort,kumanoyu-resort,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/kumanoyu-resort/,1960.0,1.5,1.3,1.7,,,0.0,,,,5000,0,2500,Japanese Yen,1.5,1.9,3.0,,,,,,,,,,,,,,,,,,,,,,,
iohzan-kanazawa,iohzan-kanazawa,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/iohzan-kanazawa/,540.0,1.6,1.2,1.2,,,0.0,,,,1570,0,0,Japanese Yen,1.5,1.9,3.0,,,,,,,,,,,,,,,,,,,,,,,
stryn-skisenter,stryn-skisenter,Europe,Norway,Western Norway (Vestlandet),https://www.skiresort.info/ski-resort/stryn-skisenter/,1000.0,6.0,6.0,0.0,,,,0.0,0.0,,360,280,0,Norwegian krone,2.2,2.2,2.0,,,,,,,,,,,,,,,,,,,,,,,
koumi-re-ex-ski-valley,koumi-re-ex-ski-valley,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/koumi-re-ex-ski-valley/,1780.0,2.6,1.8,0.0,,,0.0,,,,4000,3000,1000,Japanese Yen,1.5,1.5,3.4,,,,,,,,,,,,,,,,,,,0.0,,,,
yamabiko-mt-kosha,yamabiko-mt-kosha,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/yamabiko-mt-kosha/,900.0,1.6,0.6,0.0,,,0.0,,,,0,0,0,-,1.3,1.3,3.8,,,,,,,,,,,,,,,,,,,,,,,
ping-tian-resort,ping-tian-resort,Asia,China,Xinjiang,https://www.skiresort.info/ski-resort/ping-tian-resort/,3075.0,,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,
caldirola-monte-gropa,caldirola-monte-gropa,Europe,Italy,Piedmont (Piemonte),https://www.skiresort.info/ski-resort/caldirola-monte-gropa/,1429.0,4.0,1.9,0.0,,,0.0,,,,0,0,0,-,1.7,1.7,3.0,,,,,,,,,,,,,,,,,,,,,,,
ashibetsu,ashibetsu,Asia,Japan,Hokkaido,https://www.skiresort.info/ski-resort/ashibetsu/,250.0,1.6,1.2,1.0,,,0.0,,,,0,0,0,-,1.5,1.9,3.0,,,,,,,,,,,,,,,,,,,,,,,
black-rapid,black-rapid,North America,USA,Alaska,https://www.skiresort.info/ski-resort/black-rapid/,917.0,4.2,2.6,0.0,,,0.0,,,,0,0,0,-,1.7,1.7,3.0,,,,,,,,,,,,,,,,,,,,,,,
monte-prata-castelsantangelo-sul-nera,monte-prata-castelsantangelo-sul-nera,Europe,Italy,Marche,https://www.skiresort.info/ski-resort/monte-prata-castelsantangelo-sul-nera/,1776.0,4.8,0.6,0.3,,,0.0,0.0,,,0,0,0,-,1.7,1.9,2.8,,,,,,,,,,,,,,,,,,0.0,,,,,
valbella-gallio,valbella-gallio,Europe,Italy,Venetia (Veneto),https://www.skiresort.info/ski-resort/valbella-gallio/,1311.0,8.0,2.5,0.7,,,,0.0,,,0,0,0,-,2.1,2.3,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,
hirschberglifte-kreuth,hirschberglifte-kreuth,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/hirschberglifte-kreuth/,1196.0,0.8,0.8,0.8,,,,0.0,0.0,,21,0,17,European Euro,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,0.0,,,,,,,
gruen-maibrunn-st-englmar,gruen-maibrunn-st-englmar,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/gruen-maibrunn-st-englmar/,820.0,1.8,0.0,0.0,,,,0.0,,,18,0,12,European Euro,1.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,0.0,,,,,,,
de-uithof,de-uithof,Europe,Netherlands,Western Netherlands,https://www.skiresort.info/ski-resort/de-uithof/,30.0,0.3,0.0,0.0,,,,0.0,,,0,0,0,-,1.0,1.0,2.0,5.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,,,0.0,,,,,
wilmot-mountain,wilmot-mountain,North America,USA,Wisconsin,https://www.skiresort.info/ski-resort/wilmot-mountain/,292.0,1.4,1.6,1.0,,,0.0,,0.0,,74,0,69,US Dollar,1.5,1.9,2.9,,,,,,,,,,,,,,,,,,0.0,,,,,
ukko-koli,ukko-koli,Europe,Finland,East Finland (Pohjois- ja Itä-Suomi),https://www.skiresort.info/ski-resort/ukko-koli/,318.0,2.2,1.9,2.1,,,0.0,0.0,,,38,0,27,European Euro,1.7,2.1,2.6,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
kashka-suu,kashka-suu,Asia,Kyrgyzstan,Chuy,https://www.skiresort.info/ski-resort/kashka-suu/,2270.0,0.0,10.0,0.0,,,0.0,0.0,,,1000,0,500,Kyrgyzstani som,2.0,1.5,2.8,,,,,,,,,,,,,,,,,,,,,,,
rachowiec-zwardon,rachowiec-zwardon,Europe,Poland,Silesia (Województwo śląskie),https://www.skiresort.info/ski-resort/rachowiec-zwardon/,954.0,2.8,2.1,0.6,,,0.0,0.0,,,70,60,50,Polish zloty,1.7,2.0,2.6,,,,,,,,,,,,,,,,,,,,,,,
hidden-valley-mo,hidden-valley-mo,North America,USA,Missouri,https://www.skiresort.info/ski-resort/hidden-valley-mo/,240.0,1.0,2.0,1.0,,,0.0,,0.0,,52,0,33,US Dollar,1.5,1.9,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,
kreuzberg-bischofsheim-an-der-rhoen,kreuzberg-bischofsheim-an-der-rhoen,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/kreuzberg-bischofsheim-an-der-rhoen/,928.0,5.0,8.0,0.0,,,,0.0,0.0,,18,0,14,European Euro,2.2,2.2,2.0,,,,,,,,,,,,,,,,,,,,,,,
monte-sirino,monte-sirino,Europe,Italy,Basilicata,https://www.skiresort.info/ski-resort/monte-sirino/,1850.0,2.8,2.3,0.2,,,0.0,0.0,,,20,0,0,European Euro,1.7,1.9,2.8,,,,,,,,,,,,,,,,,,,,,,,
mt-jefferson,mt-jefferson,North America,USA,Maine,https://www.skiresort.info/ski-resort/mt-jefferson/,230.0,3.0,4.0,2.5,,,,0.0,0.0,,40,0,30,US Dollar,2.0,2.4,1.9,,,,,,,,,,,,,,,,,,,,,,,
