Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Apr̬s-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes,Total Skiable Distance
white-pass,North America,USA,Washington State,https://www.skiresort.info/ski-resort/white-pass/,1986.0,10.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,52.0,US Dollar,2.8,3.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
powderhorn,North America,USA,Colorado,https://www.skiresort.info/ski-resort/powderhorn/,3000.0,5.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,79.0,39.0,US Dollar,2.9,3.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
togakushi,Asia,Japan,Honshu,https://www.skiresort.info/ski-resort/togakushi/,1748.0,7.5,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,2500.0,Japanese Yen,2.6,3.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
panticosa,Europe,Spain,Aragon,https://www.skiresort.info/ski-resort/panticosa/,2204.0,11.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,35.5,European Euro,3.0,3.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
pico-mountain,North America,USA,Vermont,https://www.skiresort.info/ski-resort/pico-mountain/,1209.0,5.4,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,88.0,US Dollar,2.8,3.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4
lost-trail-powder-mountain,North America,USA,Montana,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,2550.0,15.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,3.2,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
high1-resort,Asia,South Korea,Gangwon-do,https://www.skiresort.info/ski-resort/high1-resort/,1367.0,4.0,7.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,2.5,2.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
discovery-ski-area,North America,USA,Montana,https://www.skiresort.info/ski-resort/discovery-ski-area/,2484.0,12.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,35.0,US Dollar,3.1,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
mad-river-glen,North America,USA,Vermont,https://www.skiresort.info/ski-resort/mad-river-glen/,1108.0,14.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,78.0,0.0,US Dollar,3.1,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
espot-esqui,Europe,Spain,Catalonia (Catalunya),https://www.skiresort.info/ski-resort/espot-esqui/,2291.0,13.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,26.0,European Euro,2.6,2.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
